TIPO	NSERIE	FMIN	FMAX	INCERT	FACTOR
8	AY-0066	0.1	3000	3.70	1.6
8	AY-0067	0.1	3000	3.70	1.6
8	S-0047	0.1	3000	3.70	1.6
9	AC-0001	3	18000	4.80	1.8
9	AC-0002	3	18000	4.80	1.8
9	N-0005	3	18000	4.80	1.8
9	O-0022	3	18000	4.80	1.8
10	AP-0015	27	1000	2.69	1
10	AP-0016	27	1000	2.69	1
10	AP-0017	27	1000	2.69	1
10	AP-0018	27	1000	2.69	1
11	D-0022	27	60000	2.90	1.5	
11	D-0023	27	60000	2.90	1.5
12	Y-0012	0.3	30	2.24	1
12	Y-0013	0.3	30	2.24	1
12	AF-0015	0.3	30	2.24	1
12	AF-0016	0.3	30	2.24	1
18	AC-0001	0.1	3000	3.00	1.5	
